Title;Description;Role Segment;Key Responsibilities;Career Level Expectations
Alliances Client and Sales Support Analyst;Support client and Alliances Management in resale opportunities. Work effectively with third party Alliances Partners facilitating the delivery of our resale capabilities/offerings including logistics, deal execution, maintenance renewal and/or resale services. Work with resale services to support client or vendor needs.;Sales Enablement;Experience and Innovation – Develop deep understanding of the Resell business process and be able to communicate the process and alternatives to Clients and Client Teams. Execution Excellence – Delivery Client superior service around order management for resale transactions. Account Management – Where requested, provide customized information, reports, or other forms of support Leverage account experience and knowledge to build deep relationships.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Alliances Client and Sales Support Associate;Support client and Alliances Management in resale opportunities. Work effectively with third party Alliances Partners facilitating the delivery of our resale capabilities/offerings including logistics, deal execution, maintenance renewal and/or resale services. Work with resale services to support client or vendor needs.;Sales Enablement;Experience and Innovation – Develop deep understanding of the Resell business process and be able to communicate the process and alternatives to Clients and Client Teams. Execution Excellence – Delivery Client superior service around order management for resale transactions. Account Management – Where requested, provide customized information, reports, or other forms of support Leverage account experience and knowledge to build deep relationships.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments.Decisions impact own work.Individual contributor as a part of a team, with a predetermined, focused scope of work.
Alliances Client and Sales Support New Associate;Support client and Alliances Management in resale opportunities. Work effectively with third party Alliances Partners facilitating the delivery of our resale capabilities/offerings including logistics, deal execution, maintenance renewal and/or resale services. Work with resale services to support client or vendor needs.;Sales Enablement;Experience and Innovation – Develop deep understanding of the Resell business process and be able to communicate the process and alternatives to Clients and Client Teams. Execution Excellence – Delivery Client superior service around order management for resale transactions. Account Management – Where requested, provide customized information, reports, or other forms of support Leverage account experience and knowledge to build deep relationships.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed instructions on all tasks with close supervision.Decisions impact own work and are closely supervised.Individual contributor as a part of a team with a predetermined, narrow scope of work.
Alliances Counsel Senior Manager;Lead and manage the legal input associated with the drafting and negotiation of agreements with Accenture's major alliance and resale partners.;Legal & Commercial Services;Stay abreast of legal developments affecting Accenture, our clients and industries and synthesize the information to incorporate it into company's transactional practices. Strategize with Accenture executives regarding legal issues that affect the company. Develop in-depth subject matter expertise in legal to benefit the business.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Alliances Counsel Manager;Lead and manage the legal input associated with the drafting and negotiation of agreements with Accenture's major alliance and resale partners.;Legal & Commercial Services;Stay abreast of legal developments affecting Accenture, our clients and industries and synthesize the information to incorporate it into company's transactional practices. Strategize with Accenture executives regarding legal issues that affect the company. Develop in-depth subject matter expertise in legal to benefit the business.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Alliances Counsel Associate Manager;Lead and manage the legal input associated with the drafting and negotiation of agreements with Accenture's major alliance and resale partners.;Legal & Commercial Services;Stay abreast of legal developments affecting Accenture, our clients and industries and synthesize the information to incorporate it into company's transactional practices. Strategize with Accenture executives regarding legal issues that affect the company. Develop in-depth subject matter expertise in legal to benefit the business.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Alliances Counsel Specialist;Lead and manage the legal input associated with the drafting and negotiation of agreements with Accenture's major alliance and resale partners.;Legal & Commercial Services;Stay abreast of legal developments affecting Accenture, our clients and industries and synthesize the information to incorporate it into company's transactional practices. Strategize with Accenture executives regarding legal issues that affect the company. Develop in-depth subject matter expertise in legal to benefit the business.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Alliances Management Associate Director;Drive incremental sales growth working with alliances partners through alignment of 'go to market' strategies for the partner or ecosystem and enable resale opportunities.Increase growth opportunities for Accenture via the partner channel and join pipeline alligment by embedding partner technologies in our offerings and execute joint sales campaigns with those respective partners. May focus on a unique emerging plaform partner, ecosystem partner or strategic priority partner.;Sales Enablement;Overall Practice Sales (in dollars). Size of Practice (people chargeable). Teaming Readiness (Are we ready to respond to an opportunity tomorrow?). Capability Readiness (Do we have access to training, technical support and demo / development products?). Relationship Readiness (Do we have executive and field level relationships we can count on?).;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Alliances Management Senior Manager;Drive incremental sales growth working with alliances partners through alignment of 'go to market' strategies for the industry or service line and enable resale opportunities. Attract alliances partner investments by embedding partner technologies in our offerings and execute joint sales campaigns with those respective partners.;Sales Enablement;Overall Practice Sales (in dollars). Size of Practice (people chargeable). Teaming Readiness (Are we ready to respond to an opportunity tomorrow?). Capability Readiness (Do we have access to training, technical support and demo / development products?). Relationship Readiness (Do we have executive and field level relationships we can count on?).;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Alliances Management Manager;Drive incremental sales growth working with alliances partners through alignment of 'go to market' strategies for the industry or service line and enable resale opportunities. Attract alliances partner investments by embedding partner technologies in our offerings and execute joint sales campaigns with those respective partners.;Sales Enablement;Overall Practice Sales (in dollars). Size of Practice (people chargeable). Teaming Readiness (Are we ready to respond to an opportunity tomorrow?). Capability Readiness (Do we have access to training, technical support and demo / development products?). Relationship Readiness (Do we have executive and field level relationships we can count on?).;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Alliances Management Associate Manager;Drive incremental sales growth working with alliances partners through alignment of 'go to market' strategies for the industry or service line and enable resale opportunities. Attract alliances partner investments by embedding partner technologies in our offerings and execute joint sales campaigns with those respective partners.;Sales Enablement;Overall Practice Sales (in dollars). Size of Practice (people chargeable). Teaming Readiness (Are we ready to respond to an opportunity tomorrow?). Capability Readiness (Do we have access to training, technical support and demo / development products?). Relationship Readiness (Do we have executive and field level relationships we can count on?).;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Alliances Management Specialist;Drive incremental sales growth working with alliances partners through alignment of 'go to market' strategies for the industry or service line and enable resale opportunities. Attract alliances partner investments by embedding partner technologies in our offerings and execute joint sales campaigns with those respective partners.;Sales Enablement;Overall Practice Sales (in dollars). Size of Practice (people chargeable). Teaming Readiness (Are we ready to respond to an opportunity tomorrow?). Capability Readiness (Do we have access to training, technical support and demo / development products?). Relationship Readiness (Do we have executive and field level relationships we can count on?).;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Alliances Solution Architect Senior Manager;Support the sales team by providing deep technical expertise of Alliances Partner solutions/products to drive resell deals. Develop and manage internal, vendor and client relationships across a vendor or product. Assess and resolve client technology problems by proposing solutions that leverage Alliances Partner and Accenture offerings. Develop technical architectures, blueprints and product configurations for the client as part of the sales cycle.;Solution Architecture;Demonstrate technology product expertise and credibility with the client and showcases solution, offering, and product strengths, capabilities, and fit into an architecture during initial meetings and early sales stages helps close opportunities during the final stages of a sales cycle. Demonstrate to Alliances Partners, knowledge of the client's technology environment, requirements, and buying values and the ability to effectively represent Alliances Partner's offerings, solutions, and products to the client. Understand client requirements and work to define the Alliances Partner product aspect of a solution blueprint, and tests alignment of the blueprint with client buyer values. Identify, build, and contribute to Accenture offerings centered on Alliances Partner solutions and products. Maintain a broad knowledge of Alliances Partner solutions and products to bring innovation and value add solutions to Accenture engagements and client projects. Complete the Alliances Partner technology architecture aspect of RFI/RFP proposal responses in coordination with Alliances Sales, Consulting/Outsourcing Response teams, and Client and Sales Support teams. Shape competitive messaging in the proposal to the client, ensures solution value drivers are reflected, and ensures proposal terminology and tone are compatible with client culture. Help establish implementation credibility and plans a smooth transition strategy from Sales to Implementation at the client location. Achieve sales and pipeline targets across net new and existing channels (working with sales leads and teams). Generate and qualify leads at accounts in coordination with Alliances sales. Shape and run client meetings and deliver presentations to prospective clients. Be a recognized technology expert within Accenture. May be responsible for detailed configuration of alliances partner solutions and products. May work closely with client and sales support team to support handoffs and align configuration options for best pricing. May be responsible for quality and review of quotes. May be responsible for rapid budgetary configuration and price development.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Alliances Solution Architect Manager;Support the sales team by providing deep technical expertise of Alliances Partner solutions/products to drive resell deals. Develop and manage internal, vendor and client relationships across a vendor or product. Assess and resolve client technology problems by proposing solutions that leverage Alliances Partner and Accenture offerings. Develop technical architectures, blueprints and product configurations for the client as part of the sales cycle.;Solution Architecture;Demonstrate technology product expertise and credibility with the client and showcases solution, offering, and product strengths, capabilities, and fit into an architecture during initial meetings and early sales stages helps close opportunities during the final stages of a sales cycle. Demonstrate to Alliances Partners, knowledge of the client's technology environment, requirements, and buying values and the ability to effectively represent Alliances Partner's offerings, solutions, and products to the client. Understand client requirements and work to define the Alliances Partner product aspect of a solution blueprint, and tests alignment of the blueprint with client buyer values. Identify, build, and contribute to Accenture offerings centered on Alliances Partner solutions and products. Maintain a broad knowledge of Alliances Partner solutions and products to bring innovation and value add solutions to Accenture engagements and client projects. Complete the Alliances Partner technology architecture aspect of RFI/RFP proposal responses in coordination with Alliances Sales, Consulting/Outsourcing Response teams, and Client and Sales Support teams. Shape competitive messaging in the proposal to the client, ensures solution value drivers are reflected, and ensures proposal terminology and tone are compatible with client culture. Help establish implementation credibility and plans a smooth transition strategy from Sales to Implementation at the client location. Achieve sales and pipeline targets across net new and existing channels (working with sales leads and teams). Generate and qualify leads at accounts in coordination with Alliances sales. Shape and run client meetings and deliver presentations to prospective clients. Be a recognized technology expert within Accenture. May be responsible for detailed configuration of alliances partner solutions and products. May work closely with client and sales support team to support handoffs and align configuration options for best pricing. May be responsible for quality and review of quotes. May be responsible for rapid budgetary configuration and price development.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Alliances Solution Architect Associate Manager;Support the sales team by providing deep technical expertise of Alliances Partner solutions/products to drive resell deals. Develop and manage internal, vendor and client relationships across a vendor or product. Assess and resolve client technology problems by proposing solutions that leverage Alliances Partner and Accenture offerings. Develop technical architectures, blueprints and product configurations for the client as part of the sales cycle.;Solution Architecture;Demonstrate technology product expertise and credibility with the client and showcases solution, offering, and product strengths, capabilities, and fit into an architecture during initial meetings and early sales stages helps close opportunities during the final stages of a sales cycle. Demonstrate to Alliances Partners, knowledge of the client's technology environment, requirements, and buying values and the ability to effectively represent Alliances Partner's offerings, solutions, and products to the client. Understand client requirements and work to define the Alliances Partner product aspect of a solution blueprint, and tests alignment of the blueprint with client buyer values. Identify, build, and contribute to Accenture offerings centered on Alliances Partner solutions and products. Maintain a broad knowledge of Alliances Partner solutions and products to bring innovation and value add solutions to Accenture engagements and client projects. Complete the Alliances Partner technology architecture aspect of RFI/RFP proposal responses in coordination with Alliances Sales, Consulting/Outsourcing Response teams, and Client and Sales Support teams. Shape competitive messaging in the proposal to the client, ensures solution value drivers are reflected, and ensures proposal terminology and tone are compatible with client culture. Help establish implementation credibility and plans a smooth transition strategy from Sales to Implementation at the client location. Achieve sales and pipeline targets across net new and existing channels (working with sales leads and teams). Generate and qualify leads at accounts in coordination with Alliances sales. Shape and run client meetings and deliver presentations to prospective clients. Be a recognized technology expert within Accenture. May be responsible for detailed configuration of alliances partner solutions and products. May work closely with client and sales support team to support handoffs and align configuration options for best pricing. May be responsible for quality and review of quotes. May be responsible for rapid budgetary configuration and price development.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Alliances Solution Architect Specialist;Support the sales team by providing deep technical expertise of Alliances Partner solutions/products to drive resell deals. Develop and manage internal, vendor and client relationships across a vendor or product. Assess and resolve client technology problems by proposing solutions that leverage Alliances Partner and Accenture offerings. Develop technical architectures, blueprints and product configurations for the client as part of the sales cycle.;Solution Architecture;Participate in account planning meetings in coordination with Alliances sale and identify/help execute ongoing Alliances Partner centric strategies for accounts. Meet key technology clients and prospects within established accounts on a regular basis to build and nurture the relationship, as well as look for opportunities. Maintain strong working relationships and open communication with Alliances Partner account direct sales teams in coordination with Alliances sales. Take new Alliances Partner offering, solution, and product value propositions and innovative ideas to clients to grow incremental sales by proactively creating opportunities that generate additional business. Contribute to the sales team's creation of a managed list of opportunities and power map within the client organization.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Analytics Senior Manager;Create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Analytics Senior Principal;Create new insights from predictive statistical modeling activities that target and deliver value to our clients. Contribute to assets/offerings and thought leadership. Act as Subject Matter Expert in area of expertise and enhance Accenture’s marketplace reputation.;Analytics;Participate in projects as the SME focused on delivering agreed business outcomes for our clients and/or Accenture. Regularly counsel  middle management on issues and trends affecting their organization. Lead and/or act as a key player in critical situations within area of expertise, either internally for Accenture or at client engagement(s).;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Analytics Manager;Create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Analytics Principal;Create new insights from predictive statistical modeling activities that target and deliver value to our clients. Contribute to assets/offerings and thought leadership. Act as Subject Matter Expert in area of expertise and enhance Accenture’s marketplace reputation.;Analytics;Participate in projects as a key representative within a  functional, technical or industry area of expertise. Discuss issues or trends within area of expertise to raise client and/or Accenture awareness. Act as a key contributor in critical situations, either internally for Accenture or at client engagement(s)  pertaining to a functional, technical or business area of expertise.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Analytics Consultant;Create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Analytics Senior Analyst;Analytics professionals create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Analytics Analyst;Create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Analytics Associate;Create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments.Decisions impact own work.Individual contributor as a part of a team, with a predetermined, focused scope of work.
Analytics New Associate;Create new insights from predictive statistical modeling activities that target and deliver value to our clients.;Analytics;Apply deep statistical and mathematical knowledge, tools and techniques to find relationships between and among variables. Develop intellectual property involving specific analytical methodologies, mathematical modeling or optimization techniques and their applications to business issues. Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution. Collaborate with Accenture and/or external consulting teams to address business issues and influence change using strategy, industry and analytical skills.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed instructions on all tasks with close supervision.Decisions impact own work and are closely supervised.Individual contributor as a part of a team with a predetermined, narrow scope of work.
Analytics & Decision Support Associate Manager;Support the overall financial management within operating group or growth platform, including planning, forecasting, reporting analysis, cost to serve and long range planning. Support leadership and serve as the primary finance contact and business advisor by providing financial insights, management information, scenario planning and solutions. Work collaboratively with the operating group and growth platform finance, entity leadership teams, directors of operations, business operation team and HR.;Finance;Support the operating unit/growth platform leadership and client executives regarding finance related questions, issues, policies, and procedures. Advise leadership on key decision by providing data and recommendations to aid decision making with focus on revenue and profitability improvement actions. Provide support to help achieve targets, alert the operating unit/growth platform lead and global finance leadership of significant issues and work collaboratively with stakeholders to address the issues. Prepare, analyze and monitor annual client financial plans and quarterly forecasts. Evaluate and report actual results versus plan and forecast, highlighting exception areas and identifying corrective actions. Implement corrective actions impacting client financial performance. Participate in discussions and assist operating unit/growth platform and client team leadership with decision making on sales management, pricing and delivery issues. Collaborate with the operating unit/growth platform, client team leadership and client financial management (CFM) to maximize client profitability with a focus on continuous margin improvement. Work with the Operations Support team to ensure the sales pipeline is in sync with the forecast. Support client risk, sales and backlog and working capital on the portfolio. Provide financial reporting and ad hoc financial analysis and support as needed. Ensure compliance with US GAAP, Internal Controls and Accenture policies In the event of an acquisition. Support successful integration of acquisition target financials onto relevant applications as well as operationalizing and tracking against the acquisition business case. Implement strong accounting skill set, work with local controllership and other global entities in managing the acquired balance sheet and our net working capital position. Interface directly with CFM support to ensure end-to-end coverage, in particular identifying any early indicators of delivery issues (e.g. cost overrun expenses unrealistic estimated times for completions) and this is particularly critical of all legacy contracts brought over from the acquired entity. Analyze and report against the impact of the acquisition on the integrated business case, relying on regional growth and other “proxy” key performance indicators and metrics.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Analytics & Decision Support Senior Analyst;Support the overall financial management within operating group or growth platform, including planning, forecasting, reporting analysis, cost to serve and long range planning. Support leadership and serve as the primary finance contact and business advisor by providing financial insights, management information, scenario planning and solutions. Work collaboratively with the operating group and growth platform finance, entity leadership teams, directors of operations, business operation team and HR.;Finance;Provide information regarding the area, geographic unit, country, operating unit, portfolio, priority emerging markets and platform financial performance across the different operating groups, growth platforms and service and sub service Groups for sales, revenue, (won/delivered) Client Controllable Income, business development and market development. Support leadership on key decisions by providing data/recommendation to aid decision making, with focus on revenue and profitability improvement actions, as well as cost management (net operations, business development, market development). Implement the month end and quarter end financial and business processes with particular focus and significant analysis of results and trends in support of monthly state of the business reviews, quarterly earnings calls and quarter end projection. Coordinate the annual integrated targeting and planning process including sales, revenues, profitability, affordability, noncontract costs and supervised cost to serve. Evaluate and report actual results (pre close and final) versus plan and forecast, highlighting exception areas and identifying corrective actions. Provide finance related materials and analysis for leadership as input for monthly Business Reviews and State of Business meetings. Analyze trends by type of work, geography, industry, and key facts on to identify changes in clients focus, market behaviors and demand in offerings. Provide detailed analysis on trends and key drivers of our business (sold/delivered margins, revenue per hour, GILC trends, EAC impacts, Backlog to Fill, etc.). Analyze and provide insights on trends and issues related to strategic growth initiatives and priority emerging markets results. Analyze and monitor cost to serve metrics, interface with operating unit finance directors and directors of operations in the arena of cost to serve and collaborate to maximize client/contract profitability. Run ad hoc queries as needed to perform detailed financial analysis. Support delivery and compliance with corporate requirements, deadlines and initiatives around standard financial processes. Ensure compliance with US GAAP, Internal Controls and Accenture policies.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
